"user_id","cluster_no"
"dn__TCEO6pBomRNi25xDtg","10"
"bUqqFbn045DLCBupjzYzww","12"
"XK_5wfpXykfK9rLWakGHEw","10"
"ZyuQqKkI6DYrSdDAbIHcYg","12"
"hUygjhQIzJLgD7BVoX6MrA","2"
"ssyMZfFh9ptb4VHHywcD9w","5"
"bTWl9CGkVgPv26gCc-BwFQ","7"
"L0WlUnAiao57hgiwx-hYDQ","8"
"TrZN1ze7xAF84sFvbXWh1w","2"
"MPaWnzh94qmtdjMMrGpSCw","9"
"EtEzD0JjmtlSy7_TYK8F7Q","8"
"Nt0z9-Uqj85GxN4ktK3i7A","8"
"1VWAobL-0Hh5dwaZ5U4ZQA","2"
"fJpKIk9u9B_dWaig-E5G9A","11"
"tJZhg8b5J9bR--_neg0jpg","10"
"rVW-2pEGSKHKHw8RZLrZuQ","12"
"mg5rOMjCzehJlkJ22WQIXw","3"
"wXn0v3htD8UlRNgB3rT1mg","2"
"m92Eef1JfUpN8RyibPXh9w","12"
"parkxlcWJktkePILhC0m9g","12"
"jLxUtqwpcgE-hDXTxZC-Mw","12"
"9OM8wsr95jFlGjF4o0o9Jg","4"
"SfGKE1WFTnY8T9qNZAB2rA","6"
"lY0nT0F6xhRj68IAv7o5Fw","1"
"_jvpuLE8claM2mi6jMKXOA","7"
"4KuXDha0eAVqRmD_-5c87g","4"
"B1fPxTAWNmj0k8wMbCwAew","9"
"8DATfDppsJe5Kll0dUq_OQ","9"
"s_-CRtT2ObQtbwvbzclcdQ","12"
"Guu-zJxho3B_LSQnD0_mQQ","1"
"vKauHVX0nBL2FXvPcGGWlQ","3"
"a53Yy0aEuyi-hik91tE0rA","12"
"sX64nFIYhtjQ4aQZ-LuBng","12"
"BAx6BpdeDc4-q9I7gf54lw","3"
"8F1wNV8Q6L-9F_9BS5RXxA","6"
"3SMGambYLwdvHGaY_Ij0Ag","12"
"N-VVSLzMsaVsLOeSce8fVA","6"
"WITbKg8jx09-oTF82TwBYA","8"
"yGoUBQ4uFtqarstNBtemAg","7"
"0MI0CFd3HuyZJvTwsFGVTQ","9"
"XTNw168jm41M9KDIAaQy3g","12"
"s_S28Pa-kTV1dtxOOSNpfw","5"
"6h9k8XnwMvdnRt118gPwoQ","1"
"vx88RfwUBWX4cwhEwWhXjw","2"
"6AMwQ8cFWIKGbGpVwehkfw","12"
"7HofplAg2-n5vQwZuDp1eQ","7"
"mvplKPAk3BMlqORMdpLUIQ","11"
"RdKJs9XI8vAsZYOOJVU-Sw","8"
"hfnPZX5mNEGL1SMtCxz-zw","9"
"a0cwFxm4rOlNVJxSaCRw5g","2"
"LyS23gEHkhmOaBYSahNQSw","2"
"IC61r4JfpLxJvrZO96cdSw","2"
"FU6oYUPzNJrUoqg1Nbr35w","12"
"zz7lojg6QdZbKFCJiHsj7w","12"
"ppfPio2VpfIrA7-eC0s82w","12"
"18s20as89w2VurJj8AWxwQ","5"
"_f0R_7aTTCMVSjEHCf1IvQ","3"
"t3aPnULV6Y8g__snhWi1MQ","1"
"leY7FqJ3NKPzpM5awAQ2-Q","10"
"5H05VX2oLUVepEEqtCtNUA","3"
"VU_iMC9xrM3PvobEAZhTHA","12"
"YYrjRN88Qak9Pc_rnvK-Rg","3"
"4puJu9ro2EAyNADvKsnIlA","12"
"K_B2Q7eM0TUny4tdL9CMrA","2"
"gi1dbwz18MnBoyqTyG0-HQ","12"
"2mercuS8DcX9cFYCQlYE3w","12"
"3R3wbFhMhT-wVVtuOttHMw","1"
